"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPN1",5.03273493990264e-08,0.593598098056012,0.989,0.858,0.000531658119051315,"1","GPN1"
"TOR1AIP1",5.0584018751465e-08,0.533083452919554,0.989,0.963,0.000534369574090476,"1","TOR1AIP1"
"TUT7",5.08508966046151e-08,0.61074940647814,0.977,0.858,0.000537188871731153,"1","TUT7"
"WDSUB1",5.09476760779393e-08,0.469140197783041,0.943,0.619,0.00053821125008735,"1","WDSUB1"
"ATG3",5.12344813241583e-08,0.508911202753729,0.989,0.917,0.000541241060708408,"1","ATG3"
"TYRO3",5.13517250944062e-08,0.493968064110816,0.864,0.546,0.000542479623897307,"1","TYRO3"
"LRP8",5.14969138443178e-08,0.475301230829831,0.761,0.372,0.000544013397851373,"1","LRP8"
"FAM117A",5.15309013238152e-08,0.509183257886329,0.966,0.647,0.000544372441584784,"1","FAM117A"
"HYI",5.17797693611044e-08,0.628005352676502,0.989,0.725,0.000547001483530707,"1","HYI"
"IL4I1",5.26492427432856e-08,0.568220395432918,0.977,0.702,0.00055618660034007,"1","IL4I1"
"GTF3C4",5.29314645447698e-08,0.514311552420067,0.977,0.734,0.000559167991450948,"1","GTF3C4"
"HFE",5.30434809409286e-08,0.562916661737085,0.932,0.528,0.00056035133265997,"1","HFE"
"AP1M2",5.30642627616373e-08,0.674262751077205,0.943,0.771,0.000560570871813937,"1","AP1M2"
"TMTC4",5.31964785555061e-08,0.426768539847824,0.898,0.495,0.000561967599460367,"1","TMTC4"
"LAPTM4B",5.33593484952632e-08,0.762433564929915,1,0.917,0.000563688157503961,"1","LAPTM4B"
"SAMD151",5.36817930107958e-08,0.629708174872621,0.432,0.138,0.000567094461366047,"1","SAMD15"
"UQCRC2",5.38148716699993e-08,0.569236670026199,1,0.922,0.000568500304321873,"1","UQCRC2"
"OMG",5.39286593159716e-08,1.3052027134737,0.432,0.142,0.000569702357013924,"1","OMG"
"FOXM1",5.41293989630987e-08,0.375320812879451,0.977,0.624,0.000571822970646174,"1","FOXM1"
"MAP3K9",5.41439058032722e-08,0.63922330119043,0.909,0.633,0.000571976220905768,"1","MAP3K9"
"LYPLAL1",5.44698190996229e-08,0.435769862342358,0.955,0.642,0.000575419168968416,"1","LYPLAL1"
"LNPEP",5.47492688962592e-08,0.583362155110094,1,0.853,0.000578371276620082,"1","LNPEP"
"ERLIN2",5.50285330636058e-08,0.546934718837787,0.955,0.615,0.000581321423283931,"1","ERLIN2"
"MAGT1",5.5245827246253e-08,0.546176113337459,0.989,0.963,0.000583616919029417,"1","MAGT1"
"TMPO",5.58815922424571e-08,0.493627160160771,1,0.867,0.000590333140449317,"1","TMPO"
"INIP",5.60215298595068e-08,0.535599996348568,0.977,0.78,0.00059181144143583,"1","INIP"
