"gene","logFC_hyp","logFC_circ","score"
"ABCC6",2.32611316809656,0.403480194830438,2.729593362927
"C9orf40",-2.11443674455682,-0.614125408350394,2.72856215290721
"SGK1",-2.06608869923057,-0.657986736023228,2.7240754352538
"NIPAL1",2.56536823723596,0.153282686691698,2.71865092392766
"NFIL3",1.85235065530435,0.864777135777778,2.71712779108213
"VAV3",2.49582001863777,0.220798074390467,2.71661809302824
"RFESD",-2.41885160626548,-0.296443777135254,2.71529538340073
"TEX9",1.99251341415508,0.715043300352345,2.70755671450742
"TPK1",-2.66276200868504,-0.0432466005582171,2.70600860924326
"AMZ1",1.77696284407307,0.927448484948312,2.70441132902139
"PFN4",-2.51043864520113,-0.193844905769262,2.70428355097039
"DOCK11",1.99812377193601,0.704276488031881,2.70240025996789
"ZGLP1",2.32466151575381,0.373263772535687,2.6979252882895
"GNAZ",2.3226417069468,0.374891707438739,2.69753341438553
"ABCC5",2.4600737180501,0.233963910721016,2.69403762877111
"MLLT3",2.51197255864134,0.170396003098879,2.68236856174021
"GP1BB",1.36122748423761,1.30805792438382,2.66928540862143
"FMO4",2.49787772971368,0.135548834074761,2.63342656378844
"ARMC2",2.3291772039764,0.295363930483592,2.62454113445999
"SIPA1L2",1.77498701481879,0.847503750852055,2.62249076567085
"HOXB5",2.14671748426004,0.462313857293486,2.60903134155352
"SOX4",2.23479279795977,0.372532210862023,2.60732500882179
"MAP2K7",2.06728767216006,0.535491750261521,2.60277942242158
"TMPPE",-2.58510135892819,-0.0143499718263764,2.59945133075456
"MNT",2.3090323998334,0.284033484038065,2.59306588387146
"OXNAD1",1.97394813270156,0.601819206291208,2.57576733899277
"ERICH6B",2.125729030233,0.436817227689186,2.56254625792218
"STIMATE",-2.51527910318881,-0.0454290643534496,2.56070816754226
"P4HA1",2.15154288047335,0.407573250064431,2.55911613053778
"NEBL",2.49746818473532,0.060768613895644,2.55823679863096
"PIK3R3",1.90053477211818,0.653143771142284,2.55367854326046
"MTMR1",2.21767156669656,0.328802750151305,2.54647431684786
"TMEM45B",1.92051722092652,0.619207878415821,2.53972509934234
"TSGA10",2.50722575113355,0.0290975393553164,2.53632329048886
"SLCO3A1",2.51004888102665,0.026129517526019,2.53617839855267
"RGS5",1.4706210434131,1.05835542337615,2.52897646678925
"ZNF296",2.13159460664526,0.394718582447562,2.52631318909282
"CREBRF",1.84773591527448,0.668490116824297,2.51622603209878
"HDAC4",-2.33102214162147,-0.176294197624807,2.50731633924628
"ALOXE3",-1.44010710494133,-1.05150060274995,2.49160770769128
"RPH3AL",-2.28070735996906,-0.192173352403416,2.47288071237247
"ZNF282",2.35737325168099,0.110728216318781,2.46810146799977
"SERPINB5",0.971502333601327,1.49566420399252,2.46716653759385
"UBAP1L",-2.160413667388,-0.28903353391756,2.44944720130556
"LYZ",1.76692782636361,0.680184686336243,2.44711251269985
"HSPA1A",-1.64386122562337,-0.797403049399608,2.44126427502298
"CASKIN1",-2.340125032702,-0.101040503509598,2.44116553621159
"MEX3A",1.83946294031428,0.567265993548987,2.40672893386327
"SEMA3E",2.08875890395533,0.314033019267294,2.40279192322263
"ALKBH8",-1.32810367089962,-1.07409086595316,2.40219453685278
"DYRK1A",2.25945896419546,0.138332603667806,2.39779156786327
"SOCS3",-1.15679302732596,-1.22680019917662,2.38359322650258
"B3GNT4",2.30641300979646,0.0758730076511398,2.3822860174476
"ADAMTSL4",2.20424447598815,0.174526309993032,2.37877078598119
"TMEM91",1.30234634360796,1.07134849505966,2.37369483866762
"ANK3",2.19887368440421,0.165449719296993,2.36432340370121
"RASSF5",-2.33037135892962,-0.030449211079316,2.36082057000894
"EXD3",2.24576595683834,0.109242614912546,2.35500857175089
"ZXDA",-1.24930730820328,-1.0996903258862,2.34899763408948
"C16orf95",-1.56824639065582,-0.780600375528441,2.34884676618426
"MORN3",1.61449160812219,0.734057728861001,2.34854933698319
"ITPR1",2.23404904990506,0.111469316778022,2.34551836668308
"JADE3",1.61709154438826,0.726923976456459,2.34401552084472
"PSRC1",-1.98617061428302,-0.350114685498585,2.3362852997816
"ALOX12",1.87205309352829,0.454384402034945,2.32643749556323
"FAM241B",2.15699469646975,0.168569414537364,2.32556411100712
"IFNGR1",2.07536226737715,0.248574747011039,2.32393701438819
"HNRNPUL2-BSCL2",2.12557545210955,0.194979455745174,2.32055490785472
"LPAR5",1.75698635758821,0.560379113251772,2.31736547083999
"ADGRV1",1.64519664585248,0.661114913695053,2.30631155954754
"SYTL3",1.1411957755392,1.16156918704575,2.30276496258495
"CEMIP2",1.72540982948309,0.575957046340836,2.30136687582392
"LRRC27",2.04436956265141,0.252515436884079,2.29688499953549
"PGBD2",2.00876508356485,0.28481791110733,2.29358299467218
"TNFSF10",1.8404656030454,0.443145568081895,2.28361117112729
"ZNF675",1.64723608698141,0.630934203183397,2.27817029016481
"WTIP",1.58514517854525,0.689467642148192,2.27461282069345
"TMEM164",1.73169934820562,0.541611019246701,2.27331036745232
"POLN",2.08881512666355,0.182550917528559,2.2713660441921
"ZNF251",2.2592457871318,0.00699890491387611,2.26624469204568
"WNT4",-1.12499968198578,-1.13813842477542,2.26313810676121
"SMIM1",-1.75053929286684,-0.500138138957469,2.25067743182431
